country,year,parent_company,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers
Argentina,2019,The Coca-Cola Company,0.0,0.0,0.0,222.0,35.0,0.0,0.0,257.0,4,243.0
Argentina,2019,Secco,0.0,0.0,0.0,39.0,4.0,0.0,0.0,43.0,4,243.0
Argentina,2019,Doble Cola,0.0,0.0,0.0,38.0,0.0,0.0,0.0,38.0,4,243.0
Argentina,2019,Pritty,0.0,0.0,0.0,22.0,7.0,0.0,0.0,29.0,4,243.0
Argentina,2019,PepsiCo,0.0,0.0,0.0,21.0,6.0,0.0,0.0,27.0,4,243.0
Argentina,2019,Casoni,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,4,243.0
Argentina,2019,Villa Del Sur - Levite,0.0,0.0,0.0,19.0,1.0,0.0,0.0,20.0,4,243.0
Argentina,2019,Manaos,0.0,0.0,0.0,14.0,4.0,0.0,0.0,18.0,4,243.0
Argentina,2019,La Bichy Ahora,0.0,0.0,0.0,14.0,3.0,0.0,0.0,17.0,4,243.0
Argentina,2019,Villavicencio,0.0,0.0,0.0,14.0,1.0,0.0,0.0,15.0,4,243.0
Argentina,2019,Eco De Los Andes,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,4,243.0
Argentina,2019,Cavatini,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,4,243.0
Argentina,2019,Villa Del Sur,0.0,0.0,0.0,8.0,3.0,0.0,0.0,11.0,4,243.0
Argentina,2019,Cepita,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,4,243.0
Argentina,2019,Livra,0.0,0.0,0.0,5.0,4.0,0.0,0.0,9.0,4,243.0
Argentina,2019,Nestlé,1.0,0.0,0.0,6.0,2.0,0.0,0.0,9.0,4,243.0
Argentina,2019,Vino Toro,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,4,243.0
Argentina,2019,Frutafiel,0.0,0.0,0.0,6.0,1.0,0.0,0.0,7.0,4,243.0
Argentina,2019,Unilever,1.0,0.0,3.0,1.0,2.0,0.0,0.0,7.0,4,243.0
Argentina,2019,Arcor,0.0,0.0,1.0,0.0,5.0,0.0,0.0,6.0,4,243.0
Argentina,2019,SC Johnson,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,4,243.0
Argentina,2019,Seven Up,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,4,243.0
Argentina,2019,Dea,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,4,243.0
Argentina,2019,Sierra De Los Padres,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,4,243.0
Argentina,2019,The Clorox Group,4.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4,243.0
Argentina,2019,Goliat,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4,243.0
Argentina,2019,Pipas,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4,243.0
Argentina,2019,Mondelez International,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4,243.0
Argentina,2019,Dr Pepper Snapple Group,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,4,243.0
Argentina,2019,Schneider,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4,243.0
Argentina,2019,Tacconi,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4,243.0
Argentina,2019,Brahma,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4,243.0
Argentina,2019,Baggio Pronto,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4,243.0
Argentina,2019,Fantoche,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4,243.0
Argentina,2019,Fernando,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4,243.0
Argentina,2019,Ferrero Group,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4,243.0
Argentina,2019,Quilmes,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4,243.0
Argentina,2019,Poett,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Hacendado,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Yamlube,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Yamaha Motors Argentina S.A.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Wega (N15),0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Valvoline,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Grido,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4,243.0
Argentina,2019,La Virginia,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Ivess,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Terrabusi,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Limpia-Lik,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Tablada,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,"Mars, Incorporated",0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Max Aroma,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Speed Unlimited,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,P&G,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Saldan,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Prunelle,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,9 De Oro,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Daniel Gotman,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Bardahl,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Ayudin,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Cusenier,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Dart,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Anheuser-Busch InBev,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Beiersdorf Global AG,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4,243.0
Argentina,2019,Benjamin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,243.0
Argentina,2019,Revigal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,243.0
Argentina,2019,Rinde Dos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,243.0
Argentina,2019,Rockstar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4,243.0
Argentina,2019,Dunox,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,243.0
Argentina,2019,San Cayetano,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,243.0
Argentina,2019,Saladix - Arcor,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,243.0
Argentina,2019,Recreo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,243.0
Argentina,2019,Savant Pharm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,243.0
